NEIGHBORHOOD,SALE_PRICE_TO_SQUARE_FOOT_RATIO,BOROUGH,NUM_TRANSACTIONS_PER_BOROUGH,BOROUGH_SIZE,TRANSACTIONS_TO_SIZE_RATIO,YEAR_BUILT,MEDIAN_SALES_PRICE
AIRPORT LA GUARDIA,353.5353535,4,26736,108.1,247.3265495,1950,425000
ALPHABET CITY,929.2293943,1,18306,22.82,802.1910605,1937,1014940
ANNADALE,319.9786325,5,8410,58.69,143.2952803,1985,590000
ARDEN HEIGHTS,256.0763889,5,8410,58.69,143.2952803,1987.5,380000
ARROCHAR,324.9730138,5,8410,58.69,143.2952803,1988,570000
ARROCHAR-SHORE ACRES,310.0683761,5,8410,58.69,143.2952803,1987,350000
ARVERNE,201.1774601,4,26736,108.1,247.3265495,1960,340863
ASTORIA,510.7726597,4,26736,108.1,247.3265495,1940,850000
BATH BEACH,491.4146798,3,24047,69.5,346,1940,828409.5
BATHGATE,170.2861082,2,7049,42.47,165.975983,1926,420000
BAY RIDGE,512.6953125,3,24047,69.5,346,1928,580000
BAYCHESTER,210.8521178,2,7049,42.47,165.975983,1955,383250
BAYSIDE,536.4995602,4,26736,108.1,247.3265495,1955,645000
BEDFORD PARK/NORWOOD,187.9491432,2,7049,42.47,165.975983,1924,358000
BEDFORD STUYVESANT,438.228738,3,24047,69.5,346,1910,995000
BEECHHURST,575,4,26736,108.1,247.3265495,1956,380000
BELLE HARBOR,428.1302211,4,26736,108.1,247.3265495,1940,807500
BELLEROSE,391.6005695,4,26736,108.1,247.3265495,1945,563500
BELMONT,234.8143982,2,7049,42.47,165.975983,1920,545000
BENSONHURST,525.4306387,3,24047,69.5,346,1930,990000
BERGEN BEACH,335.1489362,3,24047,69.5,346,1970,613250
BOERUM HILL,901.0000594,3,24047,69.5,346,1920,1453231
BOROUGH PARK,496.4154412,3,24047,69.5,346,1930,980000
BRIARWOOD,431.402439,4,26736,108.1,247.3265495,1956,210000
BRIGHTON BEACH,360.4587657,3,24047,69.5,346,2003,549855
BROAD CHANNEL,296.7539474,4,26736,108.1,247.3265495,1925,287500
BRONX PARK,133.4286395,2,7049,42.47,165.975983,1915,560000
BRONXDALE,230.8105207,2,7049,42.47,165.975983,1950,361500
BROOKLYN HEIGHTS,1197.420987,3,24047,69.5,346,1937,1501923
BROWNSVILLE,212.962963,3,24047,69.5,346,1930,460000
BULLS HEAD,295.091234,5,8410,58.69,143.2952803,1981,432500
BUSH TERMINAL,405.1565378,3,24047,69.5,346,1914,850000
BUSHWICK,345.2780888,3,24047,69.5,346,1920,875000
CAMBRIA HEIGHTS,329.9751096,4,26736,108.1,247.3265495,1945,407538.5
CANARSIE,264.4337226,3,24047,69.5,346,1955,461600
CARROLL GARDENS,918.412642,3,24047,69.5,346,1901,1650000
CASTLE HILL/UNIONPORT,214.2200102,2,7049,42.47,165.975983,1947.5,475500
CASTLETON CORNERS,372.0057566,5,8410,58.69,143.2952803,1947,511250
CHELSEA,1234.890695,1,18306,22.82,802.1910605,1940,1425000
CHINATOWN,836.6728609,1,18306,22.82,802.1910605,1920,1745312.5
CITY ISLAND,324.4613435,2,7049,42.47,165.975983,1937,495000
CITY ISLAND-PELHAM STRIP,518.3098592,2,7049,42.47,165.975983,1955,736000
CIVIC CENTER,870.0814806,1,18306,22.82,802.1910605,2007,5193075
CLINTON,1188.051948,1,18306,22.82,802.1910605,1950,1140000
CLINTON HILL,641.3690476,3,24047,69.5,346,1944,855330
CLOVE LAKES,369.4236554,5,8410,58.69,143.2952803,1958.5,462500
CO-OP CITY,11.88888889,2,7049,42.47,165.975983,1985,107000
COBBLE HILL,1149.583147,3,24047,69.5,346,1900,867500
COBBLE HILL-WEST,633.6481481,3,24047,69.5,346,1931,1130000
COLLEGE POINT,430.4347826,4,26736,108.1,247.3265495,1945,722500
CONCORD,268.1605574,5,8410,58.69,143.2952803,1970,330000
CONCORD-FOX HILLS,327.6474769,5,8410,58.69,143.2952803,1995,301000
CONEY ISLAND,328.1710914,3,24047,69.5,346,1964,430000
CORONA,401.0762952,4,26736,108.1,247.3265495,1931,650000
COUNTRY CLUB,273.6655773,2,7049,42.47,165.975983,1955,499500
CROTONA PARK,180.3480523,2,7049,42.47,165.975983,1922,453162
CROWN HEIGHTS,363.2401017,3,24047,69.5,346,1920,903700
CYPRESS HILLS,256.7354725,3,24047,69.5,346,1910,561250
DONGAN HILLS,375.1301832,5,8410,58.69,143.2952803,1965,610000
DONGAN HILLS-COLONY,391.2337421,5,8410,58.69,143.2952803,1955,785200
DONGAN HILLS-OLD TOWN,335.9858532,5,8410,58.69,143.2952803,1986,380000
DOUGLASTON,549.3051667,4,26736,108.1,247.3265495,1953,542500
DOWNTOWN-FULTON FERRY,904.6702997,3,24047,69.5,346,1916,1738994
DOWNTOWN-FULTON MALL,1661.676647,3,24047,69.5,346,2014,1540000
DOWNTOWN-METROTECH,625.5995409,3,24047,69.5,346,1950,778055
DYKER HEIGHTS,572.582127,3,24047,69.5,346,1925,972000
EAST ELMHURST,397.0588235,4,26736,108.1,247.3265495,1930,690000
EAST NEW YORK,231.1622025,3,24047,69.5,346,1925,450000
EAST RIVER,560,2,7049,42.47,165.975983,1974,11200000
EAST TREMONT,187.9379911,2,7049,42.47,165.975983,1925,430000
EAST VILLAGE,907.7142857,1,18306,22.82,802.1910605,1920,1060000
ELMHURST,440.7616361,4,26736,108.1,247.3265495,1954,510000
ELTINGVILLE,329.8611111,5,8410,58.69,143.2952803,1975,502500
EMERSON HILL,406.6382881,5,8410,58.69,143.2952803,1967.5,900000
FAR ROCKAWAY,206.9322297,4,26736,108.1,247.3265495,1950,413700
FASHION,791.3674914,1,18306,22.82,802.1910605,1929,1872500
FIELDSTON,610.8591977,2,7049,42.47,165.975983,1940,314485.5
FINANCIAL,649.6522913,1,18306,22.82,802.1910605,1987,1550000
FLATBUSH-CENTRAL,331.1078241,3,24047,69.5,346,1930,727500
FLATBUSH-EAST,293.6862245,3,24047,69.5,346,1925,477300
FLATBUSH-LEFFERTS GARDEN,483.7367424,3,24047,69.5,346,1910,1250000
FLATBUSH-NORTH,242.3909921,3,24047,69.5,346,1931,557500
FLATIRON,1179.775281,1,18306,22.82,802.1910605,1915,2456400
FLATLANDS,301.6591252,3,24047,69.5,346,1945,472500
FLORAL PARK,468.75,4,26736,108.1,247.3265495,1950,585000
FLUSHING-NORTH,560.8135763,4,26736,108.1,247.3265495,1960,745800.5
FLUSHING-SOUTH,502.2625085,4,26736,108.1,247.3265495,1950,350000
FORDHAM,201.717598,2,7049,42.47,165.975983,1910,540000
FOREST HILLS,616.5452653,4,26736,108.1,247.3265495,1950,375000
FORT GREENE,621.2121212,3,24047,69.5,346,1930,907703
FRESH KILLS,162.4568505,5,8410,58.69,143.2952803,1977,199501.5
FRESH MEADOWS,560.0961538,4,26736,108.1,247.3265495,1948.5,810000
GERRITSEN BEACH,373.1765878,3,24047,69.5,346,1925,440000
GLEN OAKS,514.7689842,4,26736,108.1,247.3265495,1955,309206
GLENDALE,393.912265,4,26736,108.1,247.3265495,1930,630000
GOWANUS,793.295,3,24047,69.5,346,1937,1500000
GRAMERCY,1255.049048,1,18306,22.82,802.1910605,1960,876000
GRANT CITY,412.7595613,5,8410,58.69,143.2952803,1961,326500
GRASMERE,384.7446237,5,8410,58.69,143.2952803,1976,570000
GRAVESEND,461.5124341,3,24047,69.5,346,1938,677136
GREAT KILLS,331.25,5,8410,58.69,143.2952803,1975,480000
GREAT KILLS-BAY TERRACE,332.5474862,5,8410,58.69,143.2952803,1970,501500
GREENPOINT,658.9147287,3,24047,69.5,346,1931,1122337.5
GREENWICH VILLAGE-CENTRAL,1722.059411,1,18306,22.82,802.1910605,1929,1385000
GREENWICH VILLAGE-WEST,1623.283617,1,18306,22.82,802.1910605,1930,1387500
GRYMES HILL,360.4294479,5,8410,58.69,143.2952803,1962.5,317500
HAMMELS,247.3363775,4,26736,108.1,247.3265495,2003,400000
HARLEM-CENTRAL,530.8641975,1,18306,22.82,802.1910605,1926,862500
HARLEM-EAST,496.7564573,1,18306,22.82,802.1910605,1920,959325
HARLEM-UPPER,528.4708494,1,18306,22.82,802.1910605,1920,720000
HARLEM-WEST,390.772851,1,18306,22.82,802.1910605,1907.5,578000
HIGHBRIDGE/MORRIS HEIGHTS,166.6666667,2,7049,42.47,165.975983,1927,415000
HILLCREST,479.6875,4,26736,108.1,247.3265495,1947,416000
HOLLIS,293.4782609,4,26736,108.1,247.3265495,1928,450000
HOLLIS HILLS,535.7142857,4,26736,108.1,247.3265495,1955,750000
HOLLISWOOD,429.0876242,4,26736,108.1,247.3265495,1953,210000
HOWARD BEACH,313.1868132,4,26736,108.1,247.3265495,1960,351400
HUGUENOT,287.6051319,5,8410,58.69,143.2952803,1975,623000
HUNTS POINT,186.9909148,2,7049,42.47,165.975983,1931,540500
INWOOD,286.5410074,1,18306,22.82,802.1910605,1938,416321
JACKSON HEIGHTS,409.7432506,4,26736,108.1,247.3265495,1940,395000
JAMAICA,316.8121897,4,26736,108.1,247.3265495,1940,400000
JAMAICA BAY,209.0301003,3,24047,69.5,346,1920,315000
JAMAICA ESTATES,523.3853007,4,26736,108.1,247.3265495,1940,850000
JAMAICA HILLS,389.6909774,4,26736,108.1,247.3265495,1930,610000
JAVITS CENTER,942.8571429,1,18306,22.82,802.1910605,1930,927500
KENSINGTON,532.0121951,3,24047,69.5,346,1935,687000
KEW GARDENS,440.8128209,4,26736,108.1,247.3265495,1951,273445
KINGSBRIDGE HTS/UNIV HTS,172.7272727,2,7049,42.47,165.975983,1941,204500
KINGSBRIDGE/JEROME PARK,238.3658009,2,7049,42.47,165.975983,1955,245000
KIPS BAY,1182.471524,1,18306,22.82,802.1910605,1984,1112787
LAURELTON,298.9398907,4,26736,108.1,247.3265495,1935,431500
LITTLE ITALY,1035.986914,1,18306,22.82,802.1910605,1910,3750000
LITTLE NECK,526.6808429,4,26736,108.1,247.3265495,1952,319000
LIVINGSTON,297.6190476,5,8410,58.69,143.2952803,1935,503950
LONG ISLAND CITY,538.2711956,4,26736,108.1,247.3265495,2006,1036500
LOWER EAST SIDE,1054.216867,1,18306,22.82,802.1910605,1955,825000
MADISON,492.7884615,3,24047,69.5,346,1930,705000
MANHATTAN BEACH,630.8411215,3,24047,69.5,346,1940,1261520
MANHATTAN VALLEY,621.7765043,1,18306,22.82,802.1910605,1960,925000
MANOR HEIGHTS,345.6959707,5,8410,58.69,143.2952803,1970,542623
MARINE PARK,462.4819625,3,24047,69.5,346,1930,596000
MARINERS HARBOR,233.967161,5,8410,58.69,143.2952803,1960,325000
MASPETH,426.0643988,4,26736,108.1,247.3265495,1935,720000
MELROSE/CONCOURSE,175.2966559,2,7049,42.47,165.975983,1927,367500
MIDDLE VILLAGE,477.9411765,4,26736,108.1,247.3265495,1940,720000
MIDLAND BEACH,321.969697,5,8410,58.69,143.2952803,1979,424000
MIDTOWN CBD,1235.108968,1,18306,22.82,802.1910605,1975,1750000
MIDTOWN EAST,1185.344828,1,18306,22.82,802.1910605,1963,860000
MIDTOWN WEST,0.442179885,1,18306,22.82,802.1910605,1978,989710.5
MIDWOOD,543.3267126,3,24047,69.5,346,1925,775000
MILL BASIN,407.8341014,3,24047,69.5,346,1960,860000
MORRIS PARK/VAN NEST,254.0230042,2,7049,42.47,165.975983,1931.5,499500
MORRISANIA/LONGWOOD,176.7676768,2,7049,42.47,165.975983,1925,422500
MOTT HAVEN/PORT MORRIS,246.2121212,2,7049,42.47,165.975983,1922.5,735000
MOUNT HOPE/MOUNT EDEN,180.5229107,2,7049,42.47,165.975983,1920,582500
MURRAY HILL,1006.097561,1,18306,22.82,802.1910605,1959,835000
NAVY YARD,905.6881431,3,24047,69.5,346,2014,1100000
NEPONSIT,478.8224326,4,26736,108.1,247.3265495,1930,841250
NEW BRIGHTON,205.1284983,5,8410,58.69,143.2952803,1920,336000
NEW BRIGHTON-ST. GEORGE,589.7465706,5,8410,58.69,143.2952803,1963,437000
NEW DORP,373.9837398,5,8410,58.69,143.2952803,1955,500474.5
NEW DORP-BEACH,303.2407407,5,8410,58.69,143.2952803,1970,370000
NEW DORP-HEIGHTS,369.4605263,5,8410,58.69,143.2952803,1965,560000
NEW SPRINGVILLE,283.5183228,5,8410,58.69,143.2952803,1980,398000
OAKLAND GARDENS,573.5354363,4,26736,108.1,247.3265495,1952,260000
OAKWOOD,385.7315599,5,8410,58.69,143.2952803,1965,550000
OAKWOOD-BEACH,341.352983,5,8410,58.69,143.2952803,1970,461840
OCEAN HILL,306.9071146,3,24047,69.5,346,1910,750000
OCEAN PARKWAY-NORTH,557.5284091,3,24047,69.5,346,1930,763093.5
OCEAN PARKWAY-SOUTH,460.8585859,3,24047,69.5,346,1938,686400
OLD MILL BASIN,341.1478228,3,24047,69.5,346,1930,463250
OZONE PARK,323.5294118,4,26736,108.1,247.3265495,1930,495000
PARK SLOPE,987.5771605,3,24047,69.5,346,1920,1300000
PARK SLOPE SOUTH,849.0412979,3,24047,69.5,346,1901,1300000
PARKCHESTER,196.9178082,2,7049,42.47,165.975983,1925.5,134500
PELHAM BAY,0.002325581,2,7049,42.47,165.975983,1961,10
PELHAM GARDENS,278.4487386,2,7049,42.47,165.975983,1950,515000
PELHAM PARKWAY NORTH,250,2,7049,42.47,165.975983,1950,470000
PELHAM PARKWAY SOUTH,290.0086505,2,7049,42.47,165.975983,1940,188000
PLEASANT PLAINS,311.6541353,5,8410,58.69,143.2952803,1994,638750
PORT IVORY,217.7399328,5,8410,58.69,143.2952803,1987,240000
PORT RICHMOND,227.4096556,5,8410,58.69,143.2952803,1930,373000
PRINCES BAY,319.5611111,5,8410,58.69,143.2952803,1997,638248.5
PROSPECT HEIGHTS,810.1851852,3,24047,69.5,346,1940,930000
QUEENS VILLAGE,326.3127652,4,26736,108.1,247.3265495,1930,453000
RED HOOK,486.3333333,3,24047,69.5,346,1925,1700000
REGO PARK,510.0624157,4,26736,108.1,247.3265495,1952,330000
RICHMOND HILL,312.6079545,4,26736,108.1,247.3265495,1920,529500
RICHMONDTOWN,370.1546003,5,8410,58.69,143.2952803,1965,637000
RICHMONDTOWN-LIGHTHS HILL,369.374754,5,8410,58.69,143.2952803,1965,775000
RIDGEWOOD,356.5073716,4,26736,108.1,247.3265495,1930,852630
RIVERDALE,409.4618284,2,7049,42.47,165.975983,1960,293000
ROCKAWAY PARK,217.3913043,4,26736,108.1,247.3265495,1959,360000
ROOSEVELT ISLAND,606.2439107,1,18306,22.82,802.1910605,1975,917628
ROSEBANK,328.8248236,5,8410,58.69,143.2952803,1977,450000
ROSEDALE,288.4615385,4,26736,108.1,247.3265495,1955,461250
ROSSVILLE,297.457728,5,8410,58.69,143.2952803,1987,398000
ROSSVILLE-CHARLESTON,280.4838596,5,8410,58.69,143.2952803,2001,550000
ROSSVILLE-PORT MOBIL,281.25,5,8410,58.69,143.2952803,1995,3125000
ROSSVILLE-RICHMOND VALLEY,239.3617021,5,8410,58.69,143.2952803,1994,650000
SCHUYLERVILLE/PELHAM BAY,246.6501241,2,7049,42.47,165.975983,1935,470000
SEAGATE,302.3663453,3,24047,69.5,346,1930,667500
SHEEPSHEAD BAY,420.6544084,3,24047,69.5,346,1953,480636
SILVER LAKE,333.4980237,5,8410,58.69,143.2952803,1935,530450
SO. JAMAICA-BAISLEY PARK,300,4,26736,108.1,247.3265495,1930,375000
SOHO,1631.232361,1,18306,22.82,802.1910605,1920,2800187
SOUNDVIEW,187.9009434,2,7049,42.47,165.975983,1935,380000
SOUTH BEACH,357.7272727,5,8410,58.69,143.2952803,1965,472500
SOUTH JAMAICA,284.4753086,4,26736,108.1,247.3265495,1925,400000
SOUTH OZONE PARK,342.9026697,4,26736,108.1,247.3265495,1930,460000
SOUTHBRIDGE,611.4633283,1,18306,22.82,802.1910605,1971,999000
SPRING CREEK,261.3113325,3,24047,69.5,346,2016,419666
SPRINGFIELD GARDENS,290.5982906,4,26736,108.1,247.3265495,1940,430000
ST. ALBANS,272.4132448,4,26736,108.1,247.3265495,1930,409000
STAPLETON,208.5404241,5,8410,58.69,143.2952803,1925,324500
STAPLETON-CLIFTON,228.064117,5,8410,58.69,143.2952803,2015,406512
SUNNYSIDE,421.1099755,4,26736,108.1,247.3265495,1937,405000
SUNSET PARK,481.4814815,3,24047,69.5,346,1920,990000
THROGS NECK,265.3861545,2,7049,42.47,165.975983,1950,430000
TODT HILL,317.99591,5,8410,58.69,143.2952803,1967.5,1050000
TOMPKINSVILLE,275.7352941,5,8410,58.69,143.2952803,1942,375000
TOTTENVILLE,314.4736842,5,8410,58.69,143.2952803,1990,580000
TRAVIS,276.4395299,5,8410,58.69,143.2952803,1990,430000
TRIBECA,1130.057005,1,18306,22.82,802.1910605,1930,2950000
UPPER EAST SIDE (59-79),1806.25,1,18306,22.82,802.1910605,1959,1100000
UPPER EAST SIDE (79-96),1117.254262,1,18306,22.82,802.1910605,1961,1171191.5
UPPER EAST SIDE (96-110),319.0572613,1,18306,22.82,802.1910605,1926,1965000
UPPER WEST SIDE (59-79),981.8181818,1,18306,22.82,802.1910605,1962,1205098.5
UPPER WEST SIDE (79-96),1112.080244,1,18306,22.82,802.1910605,1927,1137500
UPPER WEST SIDE (96-116),724.8858447,1,18306,22.82,802.1910605,1923,1109250
WAKEFIELD,224.609375,2,7049,42.47,165.975983,1930,410000
WASHINGTON HEIGHTS LOWER,413.009809,1,18306,22.82,802.1910605,1920,662500
WASHINGTON HEIGHTS UPPER,344.3176258,1,18306,22.82,802.1910605,1939,532000
WEST NEW BRIGHTON,237.4604087,5,8410,58.69,143.2952803,1935,399652
WESTCHESTER,203.2277346,2,7049,42.47,165.975983,1926,480000
WESTERLEIGH,357.1428571,5,8410,58.69,143.2952803,1955,514999
WHITESTONE,554.4147844,4,26736,108.1,247.3265495,1951,750000
WILLIAMSBRIDGE,196.7592593,2,7049,42.47,165.975983,1935,410000
WILLIAMSBURG-CENTRAL,461.3095238,3,24047,69.5,346,2003,661862
WILLIAMSBURG-EAST,659.0909091,3,24047,69.5,346,1931,1013158
WILLIAMSBURG-NORTH,890.5054559,3,24047,69.5,346,2007,1050000
WILLIAMSBURG-SOUTH,658.0645161,3,24047,69.5,346,2009,1200000
WILLOWBROOK,357.8756015,5,8410,58.69,143.2952803,1975,555000
WINDSOR TERRACE,796.3594994,3,24047,69.5,346,1925,862500
WOODHAVEN,343.2377049,4,26736,108.1,247.3265495,1920,552500
WOODLAWN,256.098176,2,7049,42.47,165.975983,1930,430000
WOODROW,305.500672,5,8410,58.69,143.2952803,1992,549000
WOODSIDE,407.1149194,4,26736,108.1,247.3265495,1940,405000
WYCKOFF HEIGHTS,373.2193732,3,24047,69.5,346,1931,1125000